Date,Close,Open,High,Low,Vol.,Change %,,
"Jul 03, 2020",225.12,226.42,228.14,224.77,5.20M,-0.57%,X,Y
"Jul 04, 2020",229.15,225.09,230.4,224.8,5.45M,1.79%,X,Y
"Jul 05, 2020",227.98,229.09,229.8,223.79,5.41M,-0.51%,X,Y
"Jul 06, 2020",241.56,227.95,241.64,227.1,9.45M,5.96%,X,Y
"Jul 07, 2020",239.25,241.56,243.43,234.92,6.26M,-0.95%,X,Y
"Jul 08, 2020",246.99,239.26,248.76,238,12.98M,3.24%,X,Y
"Jul 09, 2020",242.02,246.93,247.63,238.28,9.02M,-2.01%,X,Y
"Jul 10, 2020",241.26,242.01,242.17,236.19,6.84M,-0.32%,X,Y
"Jul 11, 2020",239.2,241.21,241.64,237.76,6.42M,-0.85%,X,Y
"Jul 12, 2020",242.75,239.2,243.79,236.91,6.81M,1.48%,X,Y
